Restaurant Name,Item Name,Price
Panera Bread,Toasted Frontega Chicken®,$16.59+
Panera Bread,Bacon Turkey Bravo®,$16.59+
Panera Bread,Chicken Bacon Rancher,$16.59+
Panera Bread,Toasted Garden Caprese,$14.29+
Applebee's,NEW Hot Honey Glazed Chicken & Bacon Skillet,$18.39 
Applebee's,Bourbon Street Chicken & Shrimp,$23.99 
Applebee's,Chicken Tenders Platter,$18.39 
Applebee's,Chicken Tenders Plate,$21.59 
Applebee's,Fiesta Lime Chicken®,$16.79 
Applebee's,Grilled Chicken Breast,$15.59 
Applebee's,NEW Bourbon Street Chicken & Andouille Sausage Penne,$19.19 
Applebee's,NEW Blackened Shrimp & Andouille Sausage Penne,$17.99 
Applebee's,Classic Broccoli Chicken Alfredo,$14.39 
Applebee's,Classic Blackened Shrimp Alfredo,$16.79 
Applebee's,Four-Cheese Mac & Cheese with Honey Pepper Chicken Tenders,$19.99 
Applebee's,Three-Cheese Chicken Penne,$21.19 
Applebee's,Breadsticks with Alfredo Sauce,$20.39 
Applebee's,Blackened Cajun Salmon,$19.59 
Applebee's,Double Crunch Shrimp,$8.79 
Applebee's,Hand-Battered Fish & Chips,$23.59 
Marco's Pizza,CinnaSquares,$11.49+
Marco's Pizza,Double Chocolate Brownie,$11.49+
Marco's Pizza,Chocolate CinnaSquares,$9.53+
Marco's Pizza,Blue Cheese Cup,$0.79+
Marco's Pizza,Caesar Dressing,$0.79+
Marco's Pizza,Greek Vinaigrette Dressing,$0.79+
Marco's Pizza,Buffalo Dipping Cup,$0.79+
Marco's Pizza,Vanilla Icing,$0.79+
Marco's Pizza,Italian Dressing,$0.79+
Marco's Pizza,Jalapeno Ranch Dipping Cup,$0.79+
Marco's Pizza,Pizza Sauce Dipping Cup,$0.79+
Marco's Pizza,Ranch Dipping Cup,$0.79+
Marco's Pizza,Ranch Dressing,$0.79+
Marco's Pizza,Tangy BBQ Dipping,$0.79+
Marco's Pizza,Garlic Butter Dipping Cup,$0.79+
Marco's Pizza,Side of,$0.58+
Marco's Pizza,Jalapeno Side Cup,$0.79+
Marco's Pizza,Banana Pepper Side Cup,$0.79+
I Heart Mac & Cheese,Build Your Own Mac and Cheese,$16.85+
I Heart Mac & Cheese,Chocolate Chip Cookie Cup,$5.35 
I Heart Mac & Cheese,Chewy Marshmallow Bar,$4.10 
I Heart Mac & Cheese,Churro Bites Small,$4.75 
I Heart Mac & Cheese,Churro Bites Large,$7.49 
I Heart Mac & Cheese,Kid’s Mac and Cheese,$9.95+
I Heart Mac & Cheese,Kid’s Grilled Cheese,$9.95+
I Heart Mac & Cheese,Bottled Water,$2.65 
I Heart Mac & Cheese,Red Bull,$4.45 
I Heart Mac & Cheese,Fountain Drink,$3.25 
I Heart Mac & Cheese,Sugar Free Red Bull,$4.45 
I Heart Mac & Cheese,Apple Juice,$3.15 
I Heart Mac & Cheese,Red Bull Yellow Edition,$4.45 
Tasty Kitchen,Hong Kong Style Ribs,$18.75 
Tasty Kitchen,Curry Roast Duck Clay Pot,$19.50 
Tasty Kitchen,Curry Chicken Clay Pot,$19.14 
Tasty Kitchen,Curry Assorted Seafood Clay Pot,$21.54 
