name,address,phone_number,cuisines
Black Bear Diner,"255 2nd St, Davis, CA, 95616",1 5307564190,"American, Breakfast, Diner, Hamburgers, Lunch Specials, Steak"
McDonald's,"4444 Chiles Rd, Davis, CA, 95618",1 5307535001,"Fast Food, American, Bakery, Breakfast, Cafe, Chicken, Coffee and Tea, Hamburgers, Ice Cream, Kids Menu, Sandwiches"
Davis Sushi Restaurant,"1260 Lake Blvd, Unit 103, Davis, CA, 95616",1 5302971999,"Japanese, Asian, Breakfast, Lunch Specials, Seafood, Sushi"
BJ's Restaurant & Brewhouse,"3531 N Freeway Blvd, Sacramento, CA, 95834",1 9165701327,"Pizza, American, BBQ, Gluten-Free, Hamburgers, Healthy, Sandwiches"
Yeti Restaurant,"234 E St, Davis, CA, 95616",1 5307470123,"Indian, Curry, Healthy, Lunch Specials, Nepalese, Soup, Vegetarian"
Little Caesars Pizza,"1340 E Covell Blvd Unit 103, Davis, CA, 95616",1 5307587000,"Pizza, American, Fast Food, Italian, Lunch Specials, Wings"
Pho Yummy,"229 G St, Davis, CA, 95616",1 5305644591,"Noodles, Pho, Vietnamese"
Chili's,"3870 Truxel Rd, Sacramento, CA, 95834",1 9162858703,"Hamburger, Chicken, Hamburgers, Sandwiches, Seafood"
Ono Hawaiian BBQ (ONO-225),"3660 Crocker Dr, Sacramento, CA, 95818",1 9164513688,"BBQ, Chicken, Hawaiian, Salads, Seafood"
Calzone  Life,"505 L St, Davis, CA, 95616",1 5307588888,"Pizza, Calzones, Dessert, Salads"
Kathmandu Kitchen,"234 G St, Davis, CA, 95616",1 5307563507,"Indian, Lunch Specials, Nepalese"
Dos Coyotes Border Cafe,"2191 Cowell Blvd, Davis, CA, 95618",1 5307581400,"Latin American, Seafood, Tacos"
Good Friends Restaurant,"2600 Gateway Oaks Dr, Sacramento, CA, 95833",1 9165685100,"Chinese, Asian, Chicken, Lunch Specials, Noodles, Seafood, Soup, Sushi, Vegetarian"
Bangkok City Thai Cuisine,"1620 W El Camino Ave, Sacramento, CA, 95833",1 9169227410,"Asian, Salads, Thai"
Aloha Poke & Ramen,"2055 Town Center Plz Ste G110, West Sacramento, CA, 95691",1 9163742888,"Hawaiian, Poke, Ramen"
Mr. Pickle's Sandwich Shop,"2191 Cowell Blvd, Ste. F, Davis, CA, 95618",1 5307462131,"American, Deli, Sandwiches"
Sourdough & Co.,"401 I St, Sacramento, CA, 95814",1 9168224491,"Sandwich, Bakery, Salads, Sandwiches, Soup"
Five Guys,"768 Ikea Ct, West Sacramento, CA, 95605",1 9767375680,"American, Hamburgers, Hot Dogs, Sandwiches"
Ike's Love & Sandwiches,"212 F St, Davis, CA, 95616",1 5307462525,"Sandwich, American, Gluten-Free, Halal, Lunch Specials, Sandwiches, Vegan"
Chaat kafe,"2721 Del Paso Rd, Sacramento, CA, 95835",1 9164199200,"Indian, Curry, Lunch Specials, Salads, Vegetarian"
King's Halal Mediterranean Food,"906 J St, Sacramento, CA, 95814",1 9164765005,"Mediterranean, Falafel, Greek, Halal, Salads, Vegetarian, Wraps"
Capitol gyros,"1640 W Capitol Ave, West Sacramento, CA, 95691",1 9163730122,"Hamburger, Gyro, Hamburgers, Salads"
TOGO’S,"1411 W Covell Blvd, Davis, CA, 95616",1 5307502625,"Sandwich, Deli, Salads, Sandwiches"
Iron Horse Tavern,"1800 15th St Suite B Ste B, Sacramento, CA, 95811",1 9164484488,"Pizza, Hamburgers, Salads, Sandwiches, Soup"
Dumpling House,"2330 J St, Sacramento, CA, 95816",1 9169429588,"Asian, Noodles, Vegetarian"
Vallejo's Restaurant,"1900 4th St, Sacramento, CA, 95811",1 9164438488,"Burritos, Kids Menu, Salads"
