Restaurant Name,URL
Pizza Guys,https://www.grubhub.com/restaurant/pizza-guys-800-harbor-blvd-west-sacramento/2717800
Manchurian Indian & Nepalese Cuisine ,https://www.grubhub.com/restaurant/manchurian-indian--nepalese-cuisine-767-ikea-ct-ste100-west-sacramento/5824728
Papa Johns,https://www.grubhub.com/restaurant/papa-johns-2580-arena-blvd-sacramento/326805
Chicken N Waffles,https://www.grubhub.com/restaurant/chicken-n-waffles-2961-advantage-way-sacramento/546710
Cocina Dona Chuyita,https://www.grubhub.com/restaurant/cocina-dona-chuyita-1035-drever-st-west-sacramento/6146368
Capitol Garage Coffee,https://www.grubhub.com/restaurant/capitol-garage-coffee-1500-k-st-sacramento/1046188
Pizza Guys,https://www.grubhub.com/restaurant/pizza-guys-2820-del-paso-rd-ste-100-sacramento/2715859
Naan Twist,https://www.grubhub.com/restaurant/naan-twist-3511-del-paso-rd-sacramento/6699488
Ume Tea,https://www.grubhub.com/restaurant/ume-tea-1411-w-covell-blvd-davis/6352024
Burger Den,https://www.grubhub.com/restaurant/burger-den-300-bercut-dr-sacramento/3032383
Star KTV Lounge & Tea Hub,https://www.grubhub.com/restaurant/star-ktv-lounge--tea-hub-4543-freeport-blvd-sacramento/6812440
Denny's,https://www.grubhub.com/restaurant/dennys-1250-stratford-ave-dixon/2698958
MOD Fresh (West Sacramento),https://www.grubhub.com/restaurant/mod-fresh-west-sacramento-771-ikea-ct-west-sacramento/5382792
"Beer, Wine, and More by 7-Eleven",https://www.grubhub.com/restaurant/beer-wine-and-more-by-7-eleven-525-l-st-davis/8755336
NASCAR Tenders & Burgers,https://www.grubhub.com/restaurant/nascar-tenders--burgers-1745-cowell-blvd-davis/8115768
Halalz Fast Food,https://www.grubhub.com/restaurant/halalz-fast-food-906-2nd-st-sacramento/5559368
Lazi Cow,https://www.grubhub.com/restaurant/lazi-cow-2820-del-paso-road-sacramento/7866448
Teaspoon,https://www.grubhub.com/restaurant/teaspoon-110-f-st-davis/7894136
Kabab Corner,https://www.grubhub.com/restaurant/kabab-corner-1001-jefferson-blvd-west-sacramento/5690168
Papa Murphy's,https://www.grubhub.com/restaurant/papa-murphys-1288-w-capitol-ave-west-sacramento/6659912
Taqueria La Garita Mexican Food ,https://www.grubhub.com/restaurant/taqueria-la-garita-mexican-food-1259-merkley-ave-west-sacramento/8221856
Cakes By Jeff The Chef,https://www.grubhub.com/restaurant/cakes-by-jeff-the-chef-405-k-st-sacramento/7195488
Insomnia Cookies,https://www.grubhub.com/restaurant/insomnia-cookies-202-e-st-davis/1947048
Rare Tea,https://www.grubhub.com/restaurant/rare-tea-2550-west-el-camino-avenue-ste-13-sacramento/2941319
